City,Lat,Temp,Humidity,Cloud,Wind
rikitea,-23.12,75.26,95,44,21.43
port-gentil,-0.72,80.6,83,75,11.41
kodiak,39.95,53.96,71,90,9.17
lorengau,-2.02,83.81,100,68,8.3
yellowknife,62.45,14,92,90,8.05
hihifo,,,,,
punta arenas,-53.16,64.4,39,75,46.08
kadykchan,,,,,
kapit,2.02,74.54,97,88,2.75
kapaa,22.08,84.02,60,40,13.87
new norfolk,-42.78,57.2,54,75,13.87
hobart,-42.88,57.2,54,75,13.87
sao filipe,14.9,78.41,94,12,15.61
rio grande,-32.03,62.84,99,44,7.29
boromo,11.74,77.46,67,32,7.9
tomatlan,19.93,77.19,75,92,2.19
gonaives,19.45,71.93,99,0,3.49
aden,12.79,79.58,100,36,15.95
longyearbyen,78.22,28.4,68,20,29.97
kautokeino,69.01,12.66,75,12,2.53
tabiauea,,,,,
saldanha,41.42,35.79,84,0,2.71
port alfred,-33.59,71.66,68,8,19.15
mahebourg,-20.41,71.6,83,20,3.36
chokurdakh,70.62,-12.5,60,44,4.54
barrow,-38.31,59.06,63,0,5.55
tasiilaq,65.61,19.4,52,56,4.7
bluff,-23.58,84.44,46,0,6.78
christchurch,-43.53,62.6,39,64,18.34
guerrero negro,27.97,76.74,51,0,8.3
upernavik,72.79,19.5,100,8,11.36
ixtapa,20.71,84.2,79,90,6.93
ushuaia,-54.81,53.6,50,75,23.04
viedma,-40.81,64.86,42,24,11.65
san patricio,-26.98,70.8,98,92,3.27
bilibino,68.06,-2.01,67,48,2.3
angostura,25.37,84.93,47,0,5.1
cape town,-33.93,60.8,93,75,16.11
mar del plata,-46.43,60.09,50,0,18.63
havelock,34.88,53.89,80,1,3.36
evanston,42.04,45.61,61,90,10.29
faanui,-16.48,82.01,100,8,6.29
hithadhoo,-0.6,81.96,100,64,3.53
silver city,32.77,63.5,29,1,13.87
east london,-33.02,71.43,89,68,28.43
karakendzha,,,,,
temiscaming,46.72,32,86,90,18.34
port elizabeth,39.31,52.54,54,20,6.93
bambous virieux,-20.34,71.6,83,20,3.36
torbay,47.66,59,100,40,18.34
coihaique,-45.58,48.2,87,90,6.93
stromness,42.87,41.58,53,90,16.11
umea,63.83,24.8,100,0,2.24
khatanga,71.98,4.83,85,76,12.82
iqaluit,63.75,15.8,72,90,10.29
karaul,,,,,
vaitupu,,,,,
grand river south east,,,,,
petropavlovsk-kamchatskiy,53.05,37.4,87,40,4.47
jaque,,,,,
tuktoyaktuk,69.44,-0.41,84,75,6.93
pitimbu,-7.47,78.8,78,20,11.41
luderitz,-26.65,60.8,72,48,8.05
saskylakh,71.97,-1.92,81,64,3.31
vaini,15.34,71.34,95,56,3.6
leningradskiy,69.38,28.77,97,76,14.67
albany,42.65,42.93,57,20,17.22
nizhneyansk,,,,,
shymkent,42.31,32,77,32,0.85
thompson,55.74,21.2,92,90,5.82
tuatapere,-46.13,48.84,100,80,26.87
sorvag,,,,,
najran,17.54,64.4,52,0,1.7
ponta do sol,-20.63,65.85,93,68,2.86
caravelas,-17.73,77.96,100,8,18.19
palabuhanratu,,,,,
umm bab,25.21,72.42,71,8,5.1
matara,-13.74,44.39,98,80,2.26
sturgeon falls,46.36,32,100,90,18.34
georgetown,6.8,78.8,94,40,6.93
bud,62.91,51.89,81,80,11.41
ascoli piceno,42.85,52.47,93,68,2.24
atuona,-9.8,80.39,100,0,12.59
petrolandia,,,,,
carnarvon,-30.97,69.9,39,56,11.81
comodoro rivadavia,-45.87,66.2,32,0,12.75
airai,-8.93,79.58,66,0,2.26
mogadishu,2.04,80.84,99,0,4.27
indianola,40.24,47.25,53,90,26.4
le mee-sur-seine,48.53,37.42,100,80,3.36
grand gaube,-20.01,71.6,83,20,3.36
dikson,73.51,23.78,97,36,17.58
bria,6.54,68.33,90,8,2.86
iskateley,67.68,26.39,98,80,9.8
ngukurr,,,,,
castro,-42.48,52.13,98,92,13.67
general pico,-35.66,69.9,52,0,9.86
cidreira,-30.17,65.22,97,100,9.86
kudahuvadhoo,2.67,82.46,100,36,5.88
seminole,32.72,55.87,51,40,21.92
hermanus,-34.42,59.64,67,88,4.21
broome,52.47,45.95,81,12,9.17
arraial do cabo,-22.97,77.19,83,12,20.04
eureka,40.8,57.09,82,1,11.41
naze,5.43,75.2,94,20,5.21
ukiah,39.15,80.96,21,1,3.36
ribeira grande,38.52,68.01,99,64,18.52
el alto,-16.5,51.8,53,75,11.41
guajara-mirim,,,,,
anloga,5.79,80.6,88,20,3.36
cam pha,,,,,
sao miguel do araguaia,-13.28,80.52,78,80,2.3
baruun-urt,46.68,7.13,70,0,7.34
uige,-7.61,66.89,90,56,2.08
bartica,6.41,78.8,94,40,6.93
blackwater,51.33,47.62,81,32,9.17
kaitangata,-46.28,47.36,92,76,27.76
dukat,42.44,42.45,86,8,1.81
husavik,50.56,28.01,99,12,2.98
barranquilla,10.98,82.76,88,40,6.93
jamestown,-33.21,77.51,50,68,6.29
cockburn town,21.46,81.78,100,76,20.15
yeletskiy,,,,,
zhigansk,66.77,4.16,80,80,7.9
shiyan,32.65,44.61,78,0,4.21
satitoa,,,,,
roma,41.89,64.29,56,0,8.05
marinette,45.1,36.59,69,1,4.7
vaitape,-16.52,80.79,100,12,4.09
aykhal,65.95,6.72,74,48,5.39
taolanaro,,,,,
nome,30.04,70.63,65,75,6.93
codrington,-28.95,84.93,62,0,5.39
mecca,21.43,67.74,61,24,3.31
attawapiskat,,,,,
tabarqah,,,,,
cabo san lucas,22.89,80.6,57,5,9.17
awjilah,29.14,55.59,83,0,2.86
te anau,-45.41,43.53,89,92,12.88
busselton,-33.64,62.34,100,0,11.59
san andres,13.32,82.05,100,0,15.05
nanortalik,60.14,31.2,96,0,28.66
road town,18.42,75.13,84,90,18.34
amderma,,,,,
bethel,60.79,30.02,71,1,9.17
vao,59.1,39.48,96,0,7
nouakchott,18.08,72.96,95,64,17.58
